video_name,transcription
Pre-Algebra Full Course_lesson_1,"hello and welcome to
pre-algebra lesson one in this video we're going to learn about place value so the lesson objectives for today we want to learn basic definitions of terms relating to place value we want to gain a basic understanding of how our number system works and additionally we want to learn how to construct and use a place value chart all right let's start by talking about the whole numbers so the whole numbers start with zero so that's your smallest whole number and then increase in increments of one indefinitely so I've written here the whole numbers and look how we've listed 0 the smallest whole number first or in the leftmost position and then you're going to put a comma you're going to add one to zero to get to one so you put your next largest whole number there and then you can just keep adding one so then you would go to two then three then four then five there's not a largest whole number you can keep just adding one to get to the next largest whole number so what you'd want to do at some point is stop and put your final comma and then these three dots here and that's just going to tell you that the pattern continues forever so after five comes six then seven then eight then nine and so on and so forth all right so now let's talk about what we call the digits these are the first ten whole numbers and they are used to build numbers so I have here the whole numbers 0 through 9 so the first ten whole numbers are referred to as digits so I've listed them out here so 0 through 9. the whole key is that as we change a digit's position in a number its value is going to change so I have here that our number system relies on the digits so again that's the first ten whole numbers and a place value to build each number so it doesn't matter how large of a number you have or how small of a number you have you're only going to use the digits to build that number the key again is just as you change the position or the placement of a digit in a number its value is going to change that's why we call our number system a place value system so to show this let's take a look at four numbers each containing the digit 9. all right so what we're going to do is look at the four numbers we have here so 49 192 3945 and then 9687. there are some things that we're going to do here that we haven't talked about yet so just take everything as a given and then I'm going to fully explain as we move forward so the first thing is I'm going to write each number in what we call expanded notation and that is going to be covered in the next lesson it's just a way that we can write a number such that the value of each digit is fully shown so for example something like 49 I could write that as 40 plus 9. or something like 192 I would say that's 100 plus 90 plus 2. then something like 3945 that's going to be three thousand plus 900 plus 40 plus 5. and then 9687 that's going to be nine thousand plus six hundred plus eighty plus seven so we'll learn how to do this in the next lesson for right now let's just take it as a given and use it to understand what's going on we have a nine in each number so that digit nine so here here here and here now look at it in the expanded form of each number so it's going to be here here here and then here notice that in the first number 49 it's just a 9. and that's coming from the fact that the 9 is in the ones place there so its value comes from nine times one which is nine then in the next number you have 192. well this 9 is in what we call the tens place so it's 9 times 10 or 90. then when we get to 3945 the 9 is in the hundreds place so it's 9 times 100 or 900 then finally when we get to 9687 then 9 is in the thousands place so it's nine times a thousand or nine thousand the main thing here is to understand that as we change the position of that non that digit in a number it's getting a different value so it's getting its value based on where it is in the number its position or its placement now as a final example let's just think about instead of 49 let's write 94. and let's think about the 9 here let me write this out and say that this is 90 plus 4. well now this 9 is a 90. it's in the tens place it's 9 times 10 or 90. here the 9 is just a nine nine times one which is nine but notice that these numbers are built with the same two digits a four and a nine but this one is 49 which is 40 plus 9 and this is 94 which is 90 plus 4. we know that ninety four dollars would be more than forty nine dollars so obviously these two numbers are not the same even though they contain the same two digits only so the position of a digit in a number is going to determine its value okay let's look at what we call a place value chart so this is a good way to understand how to find the place value for a given digit in a number so to start off I'm just going to pick a number a smaller number let's say something like 1052 and you're just going to feed this into the place value chart so provided you're working with a whole number you can just make your own example if you're working with a decimal then you're going to need an expanded place value chart we'll cover that later on in the course for right now the rightmost digit of your whole number in this case it's a 2 and that's going to be in what we call the ones place I'll talk more about this in a moment but basically for right now let's just feed this in to the rightmost position on that place value chart so that 2 is going to go right there again where it says once okay let me get rid of this highlighting so nobody's lost as I move to the left in my number I'm going to match that movement to the left on my place value chart so this 5 is now going to go here where it says tens I go to the left this zero is now going to go in this position that says hundreds I'm just going to the left then I'm going to go to the left one more time this one is going to go into the thousands so what does it mean to have ones tens hundreds thousands all these things where does that come from and what does it mean well the first thing is this is all based on 10. once you understand that it becomes very easy to come up with these names so I'm just going to start you see that this says once here I'm just gonna write a one then as I move to the left let me just write a 10 let me write 100 and let me write 1000 and I'm just going to stop there and I'm going to show you the pattern so basically what's happening is as I move to the left I'm just multiplying by 10. so 1 times 10 gives me 10. then as I move to the left I'm multiplying by 10. 10 times 10 gives me a hundred as I move to the left I'm just multiplying by 10. so 100 times 10 gives me one thousand this would continue forever and ever and ever as you move to the left now what's also true as you move to the right you're dividing by 10. we can show that real quick too so if I took 1000 and I divide by 10 I get 100 if I take 100 and I divide by 10 I get 10. if I take 10 and I divide by 10 I'm going to get 1. so we see the pattern as we move to the left we multiply by 10 as we go to the right we divide by 10. so we can use that to come up with these names just remember that the rightmost position here is the ones place you can just think about that as a one that's all you have to remember then as you move to the left well hey I multiply by 10 so I have a 10. well now I say tens move to the left multiply by 10 I get 100 so we say hundreds and this just continues so then you'd have thousands ten thousands hundred thousands millions ten millions 100 millions billions ten billions 100 billions trillions you just keep multiplying by ten so you'd have 10 trillions 100 trillions so on and so forth now you can't possibly list everything so at some point you just stop okay so I've stopped here but you can stop wherever you want so now that we understand where these names are coming from and how this pattern Works let's think a little bit about this expanded notation that I showed you earlier essentially we'll get to this in the next lesson in more detail but for right now just think about the digit Stitch multiplied by its corresponding place value so you have a one in the thousands place so basically that's one times a thousand or just one thousand so I'm just going to write that then I'm gonna put plus you have a zero in the hundreds place now the zero there is really a placeholder it's telling me I don't have any hundreds in this particular number but I need that zero there to keep these other numbers in their correct positions otherwise the number would collapse down and you'd have 152. well I don't have 152 I have 1052 so I need that zero there as a placeholder with expanded notation if you have a zero somewhere you could just skip it over then I have five tens so that's five times ten which is fifty and then plus I have two ones so that's two times one which is two so this is the basic idea behind expanded notation that we saw in the last part of the lesson all right so let's just get a little practice writing a number inside of a place value chart it's a very easy exercise so 673 452. let me grab this come down here and paste this in I would advise you to get a piece of paper and a pencil and try this on your own just make a place value chart you don't have to go out to the trillions this number is only going to go to the hundred thousands so you can just cut your paper off there so I'm just going to take the rightmost digit of this whole number here this 2 put that in the ones place that's the rightmost position in this place value chart so I put a 2 here again as I work my way to the left and the number I'm working my way to the left on the place value chart so I'm just matching my movement so this 5 will go into the tens this four would go into the hundreds this three would go into the thousands the seven would go into the ten thousands and the six would go into the hundred thousands okay let's look at a bigger one so now we have seven billion 853 million nine hundred twenty two thousand six hundred seventy three so 7 billion 853 million 922 673 and grab this real quick come down here and paste this in all right so I'm going to take my three which is the rightmost position of this whole number and I'm going to put it in the rightmost position on this place value chart so again that's going into the ones place so I'm going to put a 3 there and I'm gonna work my way to the left in the number and I'm going to match that movement on my place value chart so I'm going to the left and getting that 7 that's going to be in the tens place go to the left I have a six that's in the hundreds place go to the left I have this two here which would be in the thousands place and then go to the left to have this two which is going to be in the ten thousands place and then go to the left I have a nine that's in the hundred thousands place now as I go to the left I have a three that's in the millions Place go to the left I have a five in the ten millions Place go to the left I have an eight in the hundred millions place and then lastly I go to the left and have a seven in the billions place all right let's look at some standard questions now so a typical place value test consists of questions that ask for the place value of of a specified digit so we're going to try a few examples we want to find the place value for each underlined digit so I went ahead and underlined them and also I wrote them in a different color and I'm going to come down here and paste this in we'll do some with the place value chart and then we'll do some without it it's a really easy thing once you do a few examples you sort of start to memorize the pattern and then it's really really easy to figure this out so once again I'm going to start with the rightmost digit of this whole number I'm going to put it in the rightmost position in this place value chart so the one would go here in the ones place the eighth here I'm going to the left so matching that movement on my place value chart the 8 here would go in the tens place the five here would go in the hundredth place the three here would go in the thousands place the seven would go into ten thousands place and then lastly the six would go on the hundred thousands place so to answer our question let me put a little border here we would say for the three that's going to be where that's going to be in the thousands place so this is in the thousands and you could put place if you want I'm just going to put thousands and then the eight here well that's going to be in the tens place so let's put the 8 is going to be in the tens place all right let's take a look at another example so here we have 6 million 358 791. so let me just paste this in here I'm going to start with the rightmost digit of the number I'm going to put that into the rightmost position in our place value chart so this one would go in the ones place and then I'm going to work my way to the left and the number and then match that in my place value chart so I'm going to have a 9 that's going to be in the tens place a seven in the hundreds place in eight in the thousands place of five in the ten thousands place a three in the hundred thousands place and then lastly a six in the millions place now we want to find the place value for the underlined digits let me put a little border here so we have this three and that's going to be in the hundred thousands place so let's just write 100 thousands here and again you can put place if you want that's up to you and then for the other one it's going to be the seven which is going to be right here so that's going to be in the hundreds place so let's put that the 7 is in the hundreds place all right let's look at one that's really big so we have nine trillion 551 billion 72 million six hundred thirty six thousand ten so let me paste that in and we're gonna be looking for the place value of this guy this nine this seven and this three so again I'm just going to feed this into the place value chart so the zero the rightmost digits of that number it's going to go into the rightmost position of the place value chart so that zero is in the ones place just going to work my way to the left here and match that in my place value chart so I'd have a one in the tens place a zero in the hundreds place a six in the thousands place a three in the ten thousands place let me go ahead and highlight that since we have so much going on here and then we're gonna have a six in the hundred thousands place uh two in the millions Place uh seven in the ten millions place so again that's one of the ones that's underlined so let me highlight that real quick and then as we work our way to the left we have a zero in the hundred millions place a one in the billions place of five in the ten billions place and then also a five in the hundred billions place and then lastly we have a nine in the trillions place so let me highlight that in that again because that's underlined okay so really not that bad let me put a little border here I'll slide down just a little bit and let me put this around the number hopefully I can fit everything on the right of this border but maybe I can't we'll see so for the nine that is going to be in the trillions place so I'm just going to write trillions again if you want to write place that is up to you then for the seven that is going to be in the 10 Millions place so 10 Millions again you could put place there and then for the three we are going to say that's in the ten thousands place so let's put 10 thousands and again you could put place all right let's try a few without the place value chart so I'm going to start with 7036. so remember the rightmost position of your whole number that's in the ones place you could just write ones like this and if you're lost again as you move to the left you're just multiplying by 10. so 1 times 10 is 10. so this next position to the left that's in the tens place and we can keep going even though we have our answer multiply 10 by 10 that's 100 so this position right here this is in the hundreds place and then I probably can't fit this here maybe I can just arrow down here like that so going to the left one more time 100 times 10 is a thousand so this would be in the thousands place so the answer we want is actually the tens place let me put the three over here that's what's underlined and we'll say this is in the tens place all right the next example we have sixty four thousand one hundred fourteen I think we probably don't need to write things out at this point so the rightmost digit of that whole number again that's in the ones place as you move to the left is multiple 5x10 so you'd have the Tens The Hundreds the thousands so that's what we're looking for that digit four that's underlined here is going to be in the thousands so the thousands place again not this four this four right here would be in the ones place we're talking about this four specifically that's underlined that's going to be in the thousands place all right let's just look at one more so a pretty big number this is one billion 998 million four thousand five hundred fifty Seven so the guy that's underlined here is the nine now one thing that you could do is by reading the number you immediately say okay well this is one billion well what comes to the right of one billion again you could just divide by 10 that's going to be a hundred million so immediately you know that nine that's underlined is in the hundred millions place but again you could start here and say okay well this is the ones and every time I go to the left that's going to be times ten so tens hundreds thousands ten thousands hundred thousands millions ten millions again hundred millions so however you figure that out and this digit here this nine is going to be in the hundred so the hundred Millions place and again there's two nines here so specifically I'm talking about this one right here that's underlined if you look at the one to the right of it that would be in the 10 Millions place but we're not talking about that one because it's not underlined so this one specifically this nine is in the hundred millions place"
Pre-Algebra Full Course_lesson_2,"hello and welcome to
pre-algebra lesson two and in this video we're going to be learning about expanded notation so our lesson objectives for today would be to learn how to write a number in expanded notation and we also want to learn the difference between standard and expanded notation so in our first lesson we learned all about place value I taught you how to use this place value chart to find the place value for all the digits in a given number now when we think about expanded notation all we're simply doing is we're writing a number in a way that it emphasizes the place value for each digit in that number so this is kind of just a continuation of the last lesson and in fact in the first lesson I gave you a couple of examples where we wrote a number and expanded notation now let's say I took a number like 1035 and we want to write this in expanded notation well the first thing is we need the place value for each digit in the number so let's feed this into the place value chart so we start with the rightmost digit and we put in the rightmost column of the place value chart so the 5 goes into the ones place and as we move left we move left on the place value chart so the 3 goes in the tens place the zero goes in the hundreds place and the one goes in the thousands place so now that we know the place value for each digit in the number we can write the number to expanded notation all we need to do is form the sum of each digit multiplied by its corresponding place value so starting with this one on the left it's in the thousands place so each digit that one multiplied by its corresponding place value if it's in the thousands place we multiply it by one thousand then plus next we have a zero in the hundreds place now that zero as I've previously explained to you is just a placeholder but to illustrate expanded notation I'm going to go ahead and include it for now although you don't have to so the zero here is multiplied by 100. then plus we have a 3 in the tens place so that digit 3 is multiplied by ten and lastly we have a 5 in the ones place so we'll have plus five that's the digit times one the place value okay let's do a little multiplication now so one times a thousand is a thousand plus zero times a hundred is zero plus three times ten is thirty and then plus five times one that's five so let's just write this as one thousand one thousand plus thirty plus five right we don't need to include that zero so essentially when we write a number in expanded notation you can see that it's emphasizing the place value of each digit this one has a value of one thousand this three has a value of 30. this 5 is still a five the reason this is still a five is because it's in the ones place five times one is just five the reason this is a thirty is because it's in the tens place three times ten is thirty and the reason this one is a thousand is because it's in the thousands place one times a thousand is a thousand so it's a pretty simple concept overall and remember when we talk about this zero here it's a placeholder right it's a placeholder we don't have any hundreds in this case right we don't have any hundreds in this case but our number system will allow us to write 1035 with this zero saying hey I don't have anything there but hold that space otherwise what would you have this one would collapse down and you wouldn't be able to tell the difference between 135 and 1035 so you get all kinds of problems so let's take a look at another one let's say we want to write the number 22 000. 359 in expanded notation well let's get the place value first so I'm just going to feed this into the place value chart and 9 goes in the ones place the 5 goes in the tens place the 3 goes in the hundreds place the 2 goes in the thousands place and then this 2 here is going to go in the ten thousands place so to write the number in expanded notation again we form the sum of each digit multiplied by its corresponding place value so there's a 2 for the digit times its corresponding place value it's in the ten thousands place so just two times ten thousand plus now we have a two in the thousands place so two times one thousand plus now we have a three in the hundreds place so three times one hundred plus we have a five in the tens place so five times ten and then lastly plus we have a nine in the ones place so nine times one let's do some multiplication two times ten thousand is twenty thousand plus two times one thousand is two thousand plus three times one hundred is three hundred plus 5 times 10 is 50 and then plus 9 times 1 that's 9. so again by writing this number and expanding notation we can see the true value of each digit in the number this 2 has a value of 20 000. this 2 let me do in a different color because they're both twos that are side by side this two has a value of two thousand right it's in the thousands place this three has a value of three hundred this 5 has a value of 50 and then this 9 has a value of just nine so each digit gets its value again based on where it is in the number and that's why we call it a place value system let's look at another one okay let's say we had 759 000 275. so let's feed this into the place value chart so the 5 goes on the ones place the 7 goes in the tens place the 2 goes in the hundreds place then 9 goes in the thousands place the five goes into ten thousands place and the Seven goes in the hundred thousands place so to write this in expanded notation again we form the sum of each digit multiplied by its corresponding place value so this digit is a 7 its place value is the hundred thousands place so seven times one hundred thousand seven times one hundred thousand then plus next we have a five and a ten thousands place so five times ten thousand and plus we have a nine in the thousands place so nine times one thousand and plus we have a 2 in the hundreds place so 2 times 100 and plus we have a seven the tens place so seven times ten then lastly we have plus five times one right we have a five in the ones place five times one so we do a little multiplication seven times one hundred thousand is seven hundred thousand plus five times ten thousand that's fifty thousand plus nine times one thousand that's nine thousand plus 2 times 100 that's 200 plus 7 times 10 that's 70. and then lastly plus five times one that's five so by taking this number from standard notation and putting it in expanded notation we can see the true value of each digit in the number the 7 is 700 000 right because it's in the hundred thousands place the five is fifty thousand because it's in the ten thousands place five groups of ten thousand fifty thousand the nine is nine thousand right it's in the thousands place the 2 is 200 it's in the hundreds place the seven is seventy it's in the tens place and lastly the five is still a five because it's in the ones place let's look at another one all right for the next one let's write 36 million 255 000 927 in expanded notation now some of you might be going where's the place value chart at some point you have to be able to do this without a place value chart you have to Simply memorize the place value so if that's something you can't do yet pull out a place value chart write this number into the place value chart so that you can get the place value for each digit in the number and then continue with me but otherwise remember that there's a trick you can use and in case you didn't watch the first video where we talked about place value I'll explain it for you so the rightmost place you should be able to remember is the ones place As you move to the left you're just multiplying by 10. so in other words if you think about this as just one as I move left I multiply by 10 this would be 10. right it's the tens place it's the tens place then as I move left again I multiply by 10. this just keeps going forever and ever now you just keep multiplying by 10. so 10 times 10 is a hundred so this is the hundreds the hundreds place okay then this would be the thousands and let me make that Apostrophe a little better and then this would be the ten thousands and this would be the hundred thousands this would be the Millions and this would be the 10 mountains and again the way you figure this out is the rightmost column is always the ones place so just think about it as just a one As you move to the left you multiply by 10. so 1 times 10 is 10. so this is the tens place now I have a ten multiply by 10 again you get to 100 so now this is the hundreds place multiply by 10 again to get to a thousand that's the thousands and ten thousand then a hundred thousand then a million then 10 million so on and so forth that continues forever and ever and ever so you could have a number as large as you want and provided you had enough time you could sit there and write out the place values for each digit in that number now let's take this number and write it in expanded notation this is kind of a big number so it's going to take a little time we have a 3 that's in the 10 Millions place so we would have 3 times 10 million then plus we have a six in the millions place so 6 times 1 million and plus we have a two and a hundred thousands place so two times one hundred thousand and plus we have a five in the ten thousands place so five times ten thousand [Music] and plus we have another five and that's in the thousands place so five times one thousand and plus we have a nine in the hundreds place so nine times one hundred and plus we have a two in the tens place so two times ten and lastly we have plus seven times one right we have a seven in the ones place so we do a little multiplication 3 times 10 million is 30 million 30 million [Music] and again that's telling me that the value of this 3 here is 30 million then plus we have 6 times 1 million which is 6 million 6 million so the value for this 6 is 6 million then plus we have 2 times 100 000 or 200 000. the two is worth what two hundred thousand then next we have five times ten thousand so plus fifty thousand fifty thousand so this five is fifty thousand and plus we have five times one thousand which is five thousand so five thousand this five is a five thousand and then we have plus nine times a hundred or nine hundred so this nine is worth nine hundred and then plus we have a two in the tens place so two times ten or Twenty so this two is a twenty and then lastly we just have plus seven right seven times one is seven this is just a seven so your number 36 million 255 927 written in expanded notation looks like this 30 million plus 6 million plus two hundred thousand plus fifty thousand plus five thousand plus nine hundred plus twenty plus seven so again just breaking it down and showing you the true value of each digit in that number okay for the last example let's look at one that's really big so we have 10 billion 5 million three hundred twenty seven thousand five now the good thing about this number is I included a lot of zeros and when you have zeros and you write a number in expanded notation you can skip them so in other words I'll have this one here this is in the 10 billions place because essentially this is the ones the tens the hundreds this is the thousands the ten thousands the hundred thousands this is the millions the ten millions the hundred millions then this is the billions and the ten billions okay so this one is in the 10 billions place so I'd have one times ten billion [Music] then plus now all these zeros are basically just placeholders so when we write the number and expanded notation we don't have to put them so I can kind of just skip down to the next non-zero number so that's a five and that's going to be in the millions place so 5 times 1 million then plus next I have a 3 in the hundred thousands place so three times one hundred thousand and plus I have a two in the ten thousands place so two times ten thousand and plus I have a seven the thousands place so seven times one thousand then plus I have a five in the ones place so five times one let's do a little bit of multiplication here one times ten billion is just 10 billion okay then we have plus five times one million is five million [Music] then plus three times one hundred thousand is three hundred thousand and plus two times ten thousand that's twenty thousand and plus seven times one thousand is seven thousand and plus five times one which is five so again all we're doing is we're breaking the number down to see the value for each digit in this number so this one is a ten billion this five is a 5 million this three is a three hundred thousand this two is a twenty thousand this seven is a seven thousand and then lastly the five is just a five because again it's in the ones place five times one is just five"
Pre-Algebra Full Course_lesson_3,"hello and welcome to
pre-algebra lesson three in this video we're gonna learn about inequalities and the number line all right so the lesson objectives for today we want to learn how to create and work with a number line for the whole numbers and then also we want to learn about inequalities in a few symbols we're going to work with so previously in our course during the lesson on place value we introduced the whole numbers so the whole numbers start with zero so that is the smallest whole number and then they increase in increments of one out indefinitely so after zero comes one then two then three then four then five you just pick a spot because you can't list all of them and you're gonna stop and you can put the three dots there just to show that the pattern contains forever so after five comes six then seven then eight so on and so forth now we can visually represent our whole numbers using a horizontal number line and so the left most Notch here is going to correspond to the smallest whole number which is zero so see this guy would correspond to this guy here and then as we move to the right on the number line each additional Notch is corresponding to the next largest whole number so this going to the right by one unit this would be one the next largest whole number is one then this Notch going to the right would be two the next largest hole number is two so on and so forth you're just increasing by one each time so you go to three then four then five then six so on and so forth now in a similar way to this guy right here where we put the three dots we need to show that the whole numbers continue going out to Infinity so basically they continue forever so what we're going to do here is draw this little arrow and say that hey after 10 comes 11 then 12 then 13 so on and so forth now there's a few things we want to think about when we look at the number line first off numbers increase from left to right so you can pick any two numbers you want and just think about them for a moment let's say I start with something easy like one and two well I know that 2 is is a larger number than one and notice how 2 is to the right of 1 on the number line let's just pick two other ones so let's say we look at six and seven well seven is a larger number than six and notice that seven is to the right of six on the number line so as we move to the right numbers are increasing in value so what you can say is that if a number is to the right of another number on the number line it is a larger number then additionally we can say that numbers decrease from right to left so if I'm going this way numbers are decreasing in value let's take four and five well four is to the left of five on the number line and four is a smaller number so what you can say here is that if a number is to the left of another number on the number line it is a smaller number all right before we move on with the lesson we need to introduce a few new symbols so the first symbol I'm going to talk about is the equality symbol a lot of people just call this the equal sign or equals so let me put that up there I'm sure you've seen that before so this means is equal to so whatever's on the left is equal to whatever's on the right you could also think about this as saying whatever's on the left is the same as whatever's on the right now it's not always going to be very straightforward so let's say I start with something very easy to identify as being equal or the same so I'm going to put a 5 here and a 5 here so obviously 5 is equal to 5 or 5 is the same as 5. if I have five dollars in my wallet and my friend has five dollars in his wallet well we have an equal amount of money or the same amount of money we can each go to the store and buy five dollars worth of stuff now let's say we change up the way this looks a little bit and to give you an example let's say I keep my five dollar bill in my pocket but my friend goes to a bill changer and he exchanges his five dollar bill for five singles or you could say five one dollar bills one way you could write this is by showing this as one plus one plus one plus one plus one so now it does doesn't look as straightforward as this but these two sides represent the same value in the end if he goes through and adds up his singles he still has five dollars right this is one plus one which is two plus one which is three plus one which is four plus one which is five so each of us can go to the store and spend five dollars on stuff we have the same amount of money or an equal amount of money so five is equal to or the same as one plus one plus one plus one plus one at the end of the day the value on each side is five so another symbol we're going to use is the not equal to symbol so here we're going to draw the equal symbol and we're going to put a little slash through it so this means is not equal to so whatever's on the left is not equal to whatever's on the right now it doesn't matter what's on the left and what's on the right as long as they're not equal so you can have a smaller number on the left and the larger number on the right or you can put the larger number on the left and the smaller number on the right it does not matter so what I'm going to do is say something like let's say 5 is not equal to 7. so let's say my friend got two additional dollars and so now he has two dollars more than me to spend he could spend seven dollars but I can only spend five dollars so the amount of money we have is not the same it's not equal again this can also be more complicated so let's say that I have a 5 here and let's say over here keeping with what we did a moment ago let's say we have one plus one plus one plus one plus one so that's my five ones and let's add an additional two here so here we have one plus one which is two plus one which is three plus one which is four plus one which is five plus one which is six plus one which is seven so five is not equal to at the end of the day seven so it doesn't matter if it's straightforward like this you're going to see a lot of stuff that's not straightforward and you need to go through and think about well what is the value of this once I perform this operation well this would be 7 and this is five and five is not the same as seven so here we can show that with the not equal to symbol all right now the next two symbols we'll use for the rest of this lesson these are called the strict inequalities we'll talk about non-strict inequalities later on but for right now when you talk about a strict inequality you're talking about a less than symbol or a greater than simple so let's start with a less than symbol so this right here means is less than so whatever's on the left is less than whatever's on the right so the way you remember this when you're looking at these symbols this guy right here is always pointing to the smaller number so if I grab two numbers from the number line let's say 2 and 3 again 2 is smaller than 3 because 2 is to the left of 3 on the number line in order to make this a true statement I need to put that smaller number on the left and the larger number on the right so it's very important that you do it this way if you put here that 3 is less than 2 that's a false statement okay so with this one you want to make sure that the smaller number is on the left and the larger number is on the right so you can say that in this case 2 or whatever that smaller number is is less than the 3 or whatever that larger number is then the other guy is going to be the greater than symbol so this means is greater than so now the number on the left is larger than the number on the right so here the number on the right needs to be smaller the symbol always points to the smaller number here it points to 2 because 2 is smaller than 3. here it's going to point to you let's just pick two numbers let's say we go with eight nine so here we would point to eight because Eight's a smaller number it's to the left of 9 on the number line 9 needs to go over here because it's the larger number so we would say 9 is greater than eight so whatever the bigger number is goes on the left and that's greater than whatever the smaller number is that's going to go on the right all right let's go through some examples I think you're going to find this very very easy but something you'll definitely see in your textbook so we want to replace each question mark with the inequality symbol less than or greater than all right for the first example we have five question mark two so let me write this over here five and then we have a question mark and then a two so first let's Circle five and then let's Circle two so five is to the right of 2 on the number line so 5 is a larger number than two so here I would want to use a greater than symbol again if you can't remember the symbol always points to the smaller number 2 is a smaller number than 5 so just point the symbol to the smaller number so here you would say 5 is greater than 2. now if we flip this around and let's say the problem was 2 question mark five then now we want to use a less than symbol always point the symbol to the smaller number so this guy right here would Point towards two two is less than five here five is greater than two with a greater than the larger numbers on the left with a less than the smaller numbers on the left all right for the next problem we'll look at three question mark zero here's three here's zero so three is to the right of zero on the number line so 3 is going to be a larger number so we would say that 3 is greater than zero again that symbol is going to point let me use a different color here is going to point to that smaller number zero is the smaller number if you flip this around and let's say you got zero and then question mark three well now I want to use a less than 0 which is the smaller number is less than three the symbol always points to the smaller number what about the next one we have four question mark eight so four question mark eight here's four here's eight so four lies to the left of eight on the number line so it's a smaller number so here we would want to use the less than symbol again the symbol is going to point to the smaller number if we had gotten eight question mark four well now we want to use the greater than symbol 8's a bigger number it lies to the right of four in the number line so we we would want to say 8 is greater than 4. what about 7 question mark three so seven question mark three here's seven here's three seven lies to the right of three on the number line so with a bigger number so you wanna use a greater than there again the symbol always points to the smaller number so the symbol would point to three if you had gotten three question mark seven well now you want to use your less than symbol to say three is less than seven symbol always points to the smaller number what about one question mark two here's one here's two so one is to the left of two on the number line so you would say one is less than two symbol always points to the smaller number if you got two question mark one well then you want to use the greater than symbol 2 is a larger number than one the symbol always points to the smaller number the smaller number here is one"
Pre-Algebra Full Course_lesson_4,"hello and welcome to
pre-algebra Lesson Four and in this video we're going to learn about rounding whole numbers so our lesson objective for today is simply to learn how to round whole numbers so before we get into the procedure that we use to round a whole number let's talk a little bit about why we would round whole numbers so in many situations an exact value is not needed in these cases an approximation is easier to use and remember and when we talk about approximations we're talking about a value that is close to the original value but not exactly there all right so rounding a whole number the first thing you want to do is locate the digit in the round off place so for example if we're rounding to the nearest ten you would start by locating the digit in the tens place when you first start out I would Circle that digit or highlight it or do something to say hey this is my round off place so kind of step two is to look at the digit to the right of the round off place so if the digit to the right of the round off place is and you have two different scenarios the first one is four or less you want to leave the digit in the round off Place unchanged then the second scenario that could occur is that it's five or larger in this case we increase the digit in the round off place by one okay increase the digit in the round off place by one and then your third and final step is pretty easy you just replace each digit to the right of the round off place with a zero okay here we want to round 631 to the nearest ten so again I'm looking for the tens place and that's going to be this three here and then in step two what I want to do is I want to look at the digit to the right and that's going to be this one now does this one fall in the category of four or less or does it fall in the category of five or larger well it's clearly in the category of four or less so when that happens I want to leave the digit in the round off place which is the 3 right it's in the tens place unchanged so I would have six and then the 3 is going to be unchanged and then in step three I'm going to replace each digit to the right of the round off place with a zero so the one is to the right of the round off place I'm going to replace that with a zero and so 631 rounded to the nearest ten is 630. okay next we want to round 7952 to the nearest thousand so seven thousand nine hundred fifty two and we're looking for the digit in the thousands place so that's going to be this 7 here and then we look for the digit immediately to the right of that so that's this 9. and obviously the 9 falls in the category of 5 or larger so when this occurs we increase the digit in the Randolph Place by one so I'm going to increase that seven by one seven plus one is eight and then I replace each digit to the right of the round off place with a zero so I'm going to replace the nine with the zero the five with the zero and the two with a zero and so 7952 rounded to the nearest thousand is eight thousand okay next we want to round eight hundred thirteen thousand two hundred seventy-five to the nearest ten thousand all right so we have 813 275 and the ten thousands place is right here so I'm looking at the digit that follows that and that's this 3 here three falls in the category of four or less so when this occurs we're going to leave this digit in the round off Place unchanged unchanged so the eight and the one are going to stay unchanged I don't need to do anything to those but I'm going to replace each digit to the right of the round off place with a zero so the 3 is to the right of the one so I'm going to replace that with a zero and I'm going to replace the 2 the 7 and the five and so 813 275 rounded to the nearest ten thousand is eight hundred ten thousand okay for the last problem we want around 61 million 5387 to the nearest million so 61 million 5387 to the nearest million so the millions place is right here that's the one and we want to look at the digits to the right of the one so I'm looking at this digit here which is a zero zero is obviously in the category of 4 or less so we're going to leave the digit in the round off Place unchanged unchanged so basically the six and the one will be unchanged and then everything that follows the one which is the digit in the round off place will just be a zero so I'll have 0 0 0 comma zero zero zero so 61 million 5387 rounded to the nearest million is 61 million"
